id,name,label,wiki_url,alma_mater,birth_date,birth_place,children,death_date,education,nationality,occupation,spouse
98,Bayanqolu,Person,https://vi.wikipedia.org/wiki/Bayanqolu,Đại học Sư phạm Nội Mông Cổ; Đại học Cát Lâm,"tháng 10, 1955 (69–70 tuổi); Kỳ; Otog Tiền; ,; thành phố; Ordos; ,; Khu tự trị Nội Mông Cổ",,,,Cử nhân; Chính trị; Thạc sĩ; Kinh tế,,,
99,"Benigno Aquino, Jr.",Person,https://vi.wikipedia.org/wiki/Benigno_Aquino%2C_Jr.,"Đại học Philippines; Đại học Ateneo de Manila; San Beda College High School; St. Joseph's College, Quezon City","Benigno Simeon Aquino, Jr.; ngày 27 tháng 11 năm 1932; Concepcion; ,; Tarlac; ,; Philippine Islands",,Ma. Elena Aquino-Cruz; Aurora Corazon Aquino-Abellada; Benigno S. Aquino III; Victoria Elisa Aquino-Dee; Kristina Bernadette Aquino,"21 tháng 8, 1983; (1983-08-21); (50 tuổi); Sân bay quốc tế Manila; ,; Parañaque; ,; Metro Manila; ,; Philippines",,Filipino,Nhà chính trị,
102,Bashar al-Assad,Person,https://vi.wikipedia.org/wiki/Bashar_al-Assad,Đại học Damascus,"11 tháng 9, 1965; (60 tuổi); Damascus; ,; Cộng hòa Ả Rập Thống nhất",,Hafez; Zein; Karim,,,,,
103,Aung San Suu Kyi,Person,https://vi.wikipedia.org/wiki/Aung_San_Suu_Kyi,"Đại học Delhi; St Hugh's College, Oxford; Đại học London","19 tháng 6, 1945; (80 tuổi); Rangoon; ,; Miến Điện thuộc Anh; (hiện tại là Yangon)",,Alexander; Kim,,,,Chính trị gia,
104,Benigno Aquino III,Person,https://vi.wikipedia.org/wiki/Benigno_Aquino_III,Đại học Ateneo de Manila,"(; 1960-02-08; ); 8 tháng 2, 1960; Sampaloc; ,; Manila; ,; Philippines",,,"24 tháng 6, 2021; (2021-06-24); (61 tuổi); Thành phố Quezon; ,; Philippines",,Philippines,,
106,Basuki Tjahaja Purnama,Person,https://vi.wikipedia.org/wiki/Basuki_Tjahaja_Purnama,Trisakti University; STIE Prasetiya Mulya,"Basuki Tjahaja Purnama; 29 tháng 6, 1966; (59 tuổi); Manggar; ,; Bangka Belitung; ,; Indonesia",,Nicholas Sean Purnama; Nathania Berniece; Daud Albeenner,,,,,
107,Benjamin Butler,Person,https://vi.wikipedia.org/wiki/Benjamin_Butler,Colby College,"Benjamin Franklin Butler; 5 tháng 11 năm 1818; Deerfield; ,; New Hampshire; ,; Hoa Kỳ",,"4, bao gồm Blanche Butler Ames","11 tháng 1, 1893 (73 tuổi)",,Hoa Kỳ,"Chính khách, thiếu tướng, luật sư, doanh nhân",
111,Bernard Cazeneuve,Person,https://vi.wikipedia.org/wiki/Bernard_Cazeneuve,Viện Nghiên cứu Chính trị Bordeaux,"2 tháng 6; năm; 1963; (53 tuổi); Senlis; ,; Pháp",,,,,,,
112,Bertil Ohlin,Person,https://vi.wikipedia.org/wiki/Bertil_Ohlin,Cử nhân; Đại học Lund; (1917); Thạc sĩ; Đại học Harvard; (1923); Tiến sĩ; Đại học Stockholm; (1924),"(; 1899-04-23; ); 23 tháng 4 năm 1899; Klippan; ,; hạt Skåne",,,"3 tháng 8 năm 1979; (1979-08-03); (80 tuổi); Åre; ,; hạt Jämtland",,Thụy Điển,,
113,Bettino Craxi,Person,https://vi.wikipedia.org/wiki/Bettino_Craxi,Đại học Milan,"Benedetto Craxi; 24 tháng 2; năm; 1934; Milan; ,; Vương quốc Ý",,Bobo Craxi; Stefania Craxi,"19 tháng 1; năm; 2000; (65 tuổi); Hammamet; ,; Tunisia",,,,
115,Bernie Sanders,Person,https://vi.wikipedia.org/wiki/Bernie_Sanders,University of Chicago,"Bernard Sanders; 8 tháng 9, 1941; (84 tuổi); Brooklyn; ,; New York City",,"Levi (w/ Susan Mott); 3 stepchildren (Dave Driscoll, Carina Driscoll, Heather Titus)",,,American,,
116,Bogdan Borusewicz,Person,https://vi.wikipedia.org/wiki/Bogdan_Borusewicz,Đại học Công giáo John Paul II Lublin,"Bogdan Michał Borusewicz; 11 tháng 1; năm; 1949; (68 tuổi); Lidzbark Warmiński; ,; Cộng hòa Nhân dân Ba Lan",,2,,,,,
118,Bohuslav Sobotka,Person,https://vi.wikipedia.org/wiki/Bohuslav_Sobotka,Đại học Masaryk,"23 tháng 10, 1971; (54 tuổi); Telnice; ,; Tiệp Khắc; (hiện nay là; Cộng hòa Séc; )",,David; Martin,,,,,
